Ingredient Name,Product Name,Amazon Link,ASIN,Extraction Method
"calcium supplement","Thomas Labs Calcium Carbonate Powder","https://www.amazon.com/s?k=calcium%20carbonate%20powder%20unflavored%20Thomas%20Labs&tag=robinfrench-20","B0CKNK682W","scrape"
"spirulina powder","Vimergy Organic Spirulina Powder","https://www.amazon.com/s?k=organic%20spirulina%20powder%20Vimergy%20high%20purity&tag=robinfrench-20","B08S4982CC","scrape"
"electrolyte powder","ReptoBoost Electrolyte Powder","https://www.amazon.com/s?k=ReptoBoost%20electrolyte%20powder%20for%20reptiles&tag=robinfrench-20","B0FMZHN6M1","scrape"
"vitamin d3 drops","Ddrops Liquid Vitamin D3 Drops","https://www.amazon.com/s?k=Vitamin%20D3%20drops%201000%20IU%20Ddrops&tag=robinfrench-20","B0062QD5LM","scrape"
"s yeast","Bob\","https://www.amazon.com/s?k=brewer%27s%20yeast%20flakes%20unfortified%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B084JL2R77","scrape"
"buckwheat","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20raw%20hulled%20buckwheat%20groats&tag=robinfrench-20","B00KQ17MDG","scrape"
"buckwheat (tiny amounts)","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20raw%20hulled%20buckwheat%20groats&tag=robinfrench-20","B00KQ17MDG","scrape"
"buckwheat (hulled)","Anthony\","https://www.amazon.com/s?k=hulled%20buckwheat%20groats%20Anthony%27s%20Goods&tag=robinfrench-20","B0D15QDVW7","scrape"
"sorghum","Bob\","https://www.amazon.com/s?k=whole%20grain%20sorghum%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B0FKBVN6XP","scrape"
"barley","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20hulled%20barley%20grain&tag=robinfrench-20","B0D481997Z","scrape"
"barley (cooked, minimal)","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20hulled%20barley%20grain&tag=robinfrench-20","B00QKP257A","scrape"
"barley (hulled)","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20hulled%20barley%20grain&tag=robinfrench-20","B00QKP257A","scrape"
"millet","Bob\","https://www.amazon.com/s?k=whole%20grain%20millet%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B0FKBVN6XP","scrape"
"millet (tiny amounts)","Bob\","https://www.amazon.com/s?k=whole%20grain%20millet%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B07XPCWYP2","scrape"
"farro","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20farro%20grain&tag=robinfrench-20","B0FKBVN6XP","scrape"
"bulgur","Bob\","https://www.amazon.com/s?k=fine%20bulgur%20wheat%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B081DQ5NG5","scrape"
"amaranth (tiny amounts)","Bob\","https://www.amazon.com/s?k=whole%20grain%20amaranth%20seed%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B000V1O40U","scrape"
"amaranth seeds","Bob\","https://www.amazon.com/s?k=whole%20grain%20amaranth%20seed%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B000V1O40U","scrape"
"teff seeds","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20whole%20grain%20teff%20seeds&tag=robinfrench-20","B0FKBVN6XP","scrape"
"wheat (hulled)","Bob\","https://www.amazon.com/s?k=whole%20hulled%20wheat%20berries%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B000YFB5NC","scrape"
"oat bran (small amounts)","Bob\","https://www.amazon.com/s?k=pure%20oat%20bran%20cereal%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B07CC9RF6Y","scrape"
"oatmeal (cooked, small amounts)","Quaker Rolled Oats Old Fashioned","https://www.amazon.com/s?k=Quaker%20rolled%20oats%20old%20fashioned&tag=robinfrench-20","B00CTLAIH8","scrape"
"corn (cracked)","Scratch and Peck Cracked Corn Non-GMO","https://www.amazon.com/s?k=Scratch%20and%20Peck%20cracked%20corn%20non-gmo&tag=robinfrench-20","B01HHGD81C","scrape"
"safflower seeds","Wagner\","https://www.amazon.com/s?k=pure%20safflower%20seed%20bird%20food%20Wagner%27s&tag=robinfrench-20","B0FWLFGG21","scrape"
"nyjer seeds","Wagner\","https://www.amazon.com/s?k=nyjer%20seed%20bird%20food%20Kaytee&tag=robinfrench-20","B0D6688V7C","scrape"
"bok choi","Fresh Baby Bok Choy","https://www.amazon.com/s?k=fresh%20baby%20bok%20choy&tag=robinfrench-20","B0FN4YGSK6","scrape"
"bok choy (small amounts)","Fresh Baby Bok Choy","https://www.amazon.com/s?k=fresh%20baby%20bok%20choy&tag=robinfrench-20","B0FN4YGSK6","scrape"
"navy beans (mashed)","Goya Canned Navy Beans Low Sodium","https://www.amazon.com/s?k=canned%20navy%20beans%20low%20sodium%20Goya&tag=robinfrench-20","B006AZE13G","scrape"
"kidney beans (mashed)","Goya Canned Dark Red Kidney Beans Low Sodium","https://www.amazon.com/s?k=canned%20dark%20red%20kidney%20beans%20low%20sodium&tag=robinfrench-20","B00552005I","scrape"
"kidney beans (mashed, tiny amounts)","Goya Canned Dark Red Kidney Beans Low Sodium","https://www.amazon.com/s?k=canned%20dark%20red%20kidney%20beans%20low%20sodium&tag=robinfrench-20","B00552005I","scrape"
"pinto beans (mashed)","Bush\","https://www.amazon.com/s?k=canned%20pinto%20beans%20low%20sodium%20Bush%27s&tag=robinfrench-20","B0C4G2PR58","scrape"
"purslane","Fresh Purslane Leaves","https://www.amazon.com/s?k=fresh%20purslane%20leaves&tag=robinfrench-20","B09MDXM2YQ","scrape"
"purslane (small amounts)","Fresh Purslane Leaves","https://www.amazon.com/s?k=fresh%20purslane%20leaves&tag=robinfrench-20","B0BWY8JWVL","scrape"
"s lettuce","Miner\","https://www.amazon.com/s?k=miner%27s%20lettuce%20seeds%20for%20planting&tag=robinfrench-20","B0D3J7FZFD","scrape"
"flaxseed (ground)","Bob\","https://www.amazon.com/s?k=organic%20ground%20flaxseed%20meal%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B075XC6C69","scrape"
"fennel","Fresh Fennel Bulb","https://www.amazon.com/s?k=fresh%20fennel%20bulb&tag=robinfrench-20","B00E3J6RC4","scrape"
"delicata squash","Fresh Delicata Squash","https://www.amazon.com/s?k=fresh%20delicata%20squash&tag=robinfrench-20","B07KHH8K4L","scrape"
"yellow squash","Fresh Yellow Summer Squash","https://www.amazon.com/s?k=fresh%20yellow%20summer%20squash&tag=robinfrench-20","B08QVBFGDC","scrape"
"leeks","Fresh Leeks","https://www.amazon.com/s?k=fresh%20leeks&tag=robinfrench-20","B09HQJGQDG","scrape"
"shallots","Fresh Shallots","https://www.amazon.com/s?k=fresh%20shallots&tag=robinfrench-20","B09B2ZWHKQ","scrape"
"tomatoes (small amounts)","Fresh Ripe Vine Tomatoes","https://www.amazon.com/s?k=fresh%20ripe%20vine%20tomatoes&tag=robinfrench-20","B086WX15TH","scrape"
"napa cabbage","Fresh Napa Cabbage","https://www.amazon.com/s?k=fresh%20napa%20cabbage&tag=robinfrench-20","B07FTVYNM3","scrape"
"napa cabbage (small amounts)","Fresh Napa Cabbage","https://www.amazon.com/s?k=fresh%20napa%20cabbage&tag=robinfrench-20","B079VV1K9L","scrape"
"artichokes","Fresh Artichoke Hearts","https://www.amazon.com/s?k=fresh%20artichoke%20hearts&tag=robinfrench-20","B0DF91JXND","scrape"
"frisee","Fresh Frisee Lettuce","https://www.amazon.com/s?k=fresh%20frisee%20lettuce&tag=robinfrench-20","B07FZGKZL4","scrape"
"radicchio","Fresh Radicchio Lettuce","https://www.amazon.com/s?k=fresh%20radicchio%20lettuce&tag=robinfrench-20","B00BJPTZLA","scrape"
"red cabbage","Fresh Red Cabbage Head","https://www.amazon.com/s?k=fresh%20red%20cabbage%20head&tag=robinfrench-20","B000RH1MXK","scrape"
"green cabbage","Fresh Green Cabbage Head","https://www.amazon.com/s?k=fresh%20green%20cabbage%20head&tag=robinfrench-20","B09HQGDCKV","scrape"
"swiss chard","Fresh Swiss Chard","https://www.amazon.com/s?k=fresh%20swiss%20chard&tag=robinfrench-20","B07F12P248","scrape"
"swiss chard (cooked, tiny amounts)","Fresh Swiss Chard","https://www.amazon.com/s?k=fresh%20swiss%20chard&tag=robinfrench-20","B07F12P248","scrape"
"lettuce (romaine, small amounts)","Fresh Romaine Lettuce Hearts","https://www.amazon.com/s?k=fresh%20romaine%20lettuce%20hearts&tag=robinfrench-20","B074H5J9G2","scrape"
"red leaf lettuce","Fresh Red Leaf Lettuce","https://www.amazon.com/s?k=fresh%20red%20leaf%20lettuce&tag=robinfrench-20","B0BX76BG5V","scrape"
"mache","Fresh Mache Lamb\","https://www.amazon.com/s?k=fresh%20mache%20lamb%27s%20lettuce&tag=robinfrench-20","B00AWLAQFG","scrape"
"alfalfa sprouts (small amounts)","Fresh Alfalfa Sprouts","https://www.amazon.com/s?k=fresh%20alfalfa%20sprouts&tag=robinfrench-20","B0DFZTWLTY","scrape"
"cat grass (wheatgrass)","SmartyKat Cat Grass Growing Kit Wheatgrass","https://www.amazon.com/s?k=Cat%20Grass%20growing%20kit%20wheatgrass%20SmartyKat&tag=robinfrench-20","B0D45F9TGG","scrape"
"squash (cooked)","Fresh Butternut Squash","https://www.amazon.com/s?k=fresh%20butternut%20squash&tag=robinfrench-20","B002QY3U5A","scrape"
"s quarters","Lamb\","https://www.amazon.com/s?k=lamb%27s%20quarters%20seeds&tag=robinfrench-20","B0DYPHGW89","scrape"
"amaranth leaves","Fresh Amaranth Leaves","https://www.amazon.com/s?k=fresh%20amaranth%20leaves&tag=robinfrench-20","B0F2YRBGS6","scrape"
"ginger (small amounts)","Simply Organic Fresh Ginger Root","https://www.amazon.com/s?k=organic%20ginger%20root%20fresh&tag=robinfrench-20","B0C6V3416T","scrape"
"turmeric","Simply Organic Pure Turmeric Powder","https://www.amazon.com/s?k=Simply%20Organic%20pure%20turmeric%20powder&tag=robinfrench-20","B018GPDCV4","scrape"
"rosemary","Frontier Co-op Dried Organic Rosemary","https://www.amazon.com/s?k=Frontier%20Co-op%20dried%20organic%20rosemary&tag=robinfrench-20","B004JWLMNY","scrape"
"sage","Simply Organic Dried Sage Leaf","https://www.amazon.com/s?k=Simply%20Organic%20dried%20sage%20leaf&tag=robinfrench-20","B0CH3R9TVY","scrape"
"mint","Fresh Mint Leaves","https://www.amazon.com/s?k=fresh%20mint%20leaves&tag=robinfrench-20","B097F3NT7N","scrape"
"garlic chives","Fresh Garlic Chives","https://www.amazon.com/s?k=fresh%20garlic%20chives&tag=robinfrench-20","B097F3J1PY","scrape"
"raisins (unsweetened)","Sun-Maid Organic Raisins Unsweetened","https://www.amazon.com/s?k=organic%20raisins%20unsweetened%20no%20oil%20Sun-Maid&tag=robinfrench-20","B01GXPRIQY","scrape"
"plums (pitted)","Fresh Plums Pitted","https://www.amazon.com/s?k=fresh%20plums%20pitted&tag=robinfrench-20","B07P6Z8L76","scrape"
"apricots (pitted)","NOW Foods Dried Apricots Unsulphured","https://www.amazon.com/s?k=dried%20apricots%20unsulphured%20no%20sugar%20NOW%20Foods&tag=robinfrench-20","B07FZWBPC5","scrape"
"kiwi","Fresh Kiwi Fruit","https://www.amazon.com/s?k=fresh%20kiwi%20fruit&tag=robinfrench-20","B01LASWK7G","scrape"
"mulberries","Terrasoul Dried Mulberries Organic","https://www.amazon.com/s?k=Terrasoul%20dried%20mulberries%20organic&tag=robinfrench-20","B074153BXC","scrape"
"raspberries","Fresh Raspberries Organic","https://www.amazon.com/s?k=fresh%20raspberries%20organic&tag=robinfrench-20","B000P6G12U","scrape"
"cranberries","NOW Foods Dried Cranberries Unsweetened","https://www.amazon.com/s?k=NOW%20Foods%20dried%20cranberries%20unsweetened&tag=robinfrench-20","B074153BXC","scrape"
"pineapple (small amounts)","Fresh Pineapple Fruit","https://www.amazon.com/s?k=fresh%20pineapple%20fruit&tag=robinfrench-20","B000P6L3V4","scrape"
"pears (no seeds)","Fresh Pears No Seeds","https://www.amazon.com/s?k=fresh%20pears%20no%20seeds&tag=robinfrench-20","B0DYKVQ3XZ","scrape"
"pinhead crickets","Josh\","https://www.amazon.com/s?k=Josh%27s%20Frogs%20live%20pinhead%20crickets&tag=robinfrench-20","B07196FX9W","scrape"
"locusts","Exo Terra Canned Locusts Reptile Food","https://www.amazon.com/s?k=Exo%20Terra%20canned%20locusts%20reptile%20food&tag=robinfrench-20","B000CMKHBS","scrape"
"butterworms","Rainbow Mealworms Live Butterworms","https://www.amazon.com/s?k=Rainbow%20Mealworms%20live%20butterworms&tag=robinfrench-20","B093BD8NXR","scrape"
"grasshoppers","Fluker\","https://www.amazon.com/s?k=Fluker%27s%20dried%20grasshoppers%20reptile%20food&tag=robinfrench-20","B004HSQRG2","scrape"
"small dubia roaches","Small Live Dubia Roaches Feeder","https://www.amazon.com/s?k=small%20live%20dubia%20roaches%20feeder&tag=robinfrench-20","B09QD6PBB8","scrape"
"silkworms","Live Silkworms Reptile Food","https://www.amazon.com/s?k=live%20silkworms%20reptile%20food&tag=robinfrench-20","B08JKNZPSF","scrape"
"earthworms","Uncle Jim\","https://www.amazon.com/s?k=Uncle%20Jim%27s%20live%20earthworms&tag=robinfrench-20","B097PDMK47","scrape"
"wheat hay","Oxbow Wheat Hay Small Animal","https://www.amazon.com/s?k=Oxbow%20wheat%20hay%20small%20animal&tag=robinfrench-20","B0CLC76V98","scrape"
"fescue hay","Small Pet Select Fescue Hay","https://www.amazon.com/s?k=Small%20Pet%20Select%20fescue%20hay&tag=robinfrench-20","B00S6YIF36","scrape"
"oat hay","Oxbow Oat Hay Small Animal","https://www.amazon.com/s?k=Oxbow%20oat%20hay%20small%20animal&tag=robinfrench-20","B000WFKP80","scrape"
"bluegrass hay","Small Pet Select Bluegrass Hay","https://www.amazon.com/s?k=Small%20Pet%20Select%20bluegrass%20hay&tag=robinfrench-20","B00S6Y8MHU","scrape"
"straw (wheat/pine)","Oxbow Wheat Straw Bedding","https://www.amazon.com/s?k=Oxbow%20wheat%20straw%20bedding&tag=robinfrench-20","B0CDQMD1CB","scrape"
"dried grass","Kaytee Dried Natural Grass Small Animal","https://www.amazon.com/s?k=dried%20natural%20grass%20small%20animal%20Kaytee&tag=robinfrench-20","B0002DK8OI","scrape"
"bermuda hay","Standlee Premium Bermuda Hay","https://www.amazon.com/s?k=Standlee%20premium%20bermuda%20hay&tag=robinfrench-20","B0FSVM5P3D","scrape"
"barley hay","Standlee Barley Hay","https://www.amazon.com/s?k=Standlee%20barley%20hay&tag=robinfrench-20","B08YM9VJC5","scrape"
"guinea pig pellets (with vitamin c)","Oxbow Essentials Cavy Cuisine Guinea Pig Pellets","https://www.amazon.com/s?k=Oxbow%20guinea%20pig%20pellets%20vitamin%20c&tag=robinfrench-20","B00E4KT5NA","scrape"
"rabbit pellets (high fiber)","Oxbow Essentials Rabbit Food High Fiber","https://www.amazon.com/s?k=Oxbow%20adult%20rabbit%20pellets%20high%20fiber&tag=robinfrench-20","B0017JANQY","scrape"
"hamster pellets (higher protein)","Oxbow Essentials Hamster Food Higher Protein","https://www.amazon.com/s?k=Oxbow%20hamster%20food%20higher%20protein&tag=robinfrench-20","B0053SYJVA","scrape"
"wild bird mix","Lyric Wild Bird Mix No Filler","https://www.amazon.com/s?k=Lyric%20wild%20bird%20mix%20no%20filler&tag=robinfrench-20","B0FWLFGG21","scrape"
"beta-glucans","NOW Supplements Beta Glucans 60 Capsules","https://www.amazon.com/s?k=NOW+Supplements+Beta+Glucans+60+Capsules&tag=robinfrench-20","B01LWVNL9J","scrape"
"biotin","NOW Supplements Biotin 5000 mcg","https://www.amazon.com/s?k=NOW+Supplements+Biotin+5000+mcg&tag=robinfrench-20","B01AMJCHB8","scrape"
"bone broth (low sodium)","Brutus Bone Broth for Dogs Low Sodium","https://www.amazon.com/s?k=Brutus+Bone+Broth+Dogs+Low+Sodium&tag=robinfrench-20","B07DFNP37Y","scrape"
"cauliflower","Fresh Organic Cauliflower","https://www.amazon.com/s?k=fresh+organic+cauliflower&tag=robinfrench-20","B000P6G0GM","scrape"
"chicory root","NOW Supplements Inulin Prebiotic Fiber","https://www.amazon.com/s?k=NOW+Supplements+Inulin+Prebiotic+Fiber&tag=robinfrench-20","B08Q7KZYKC","scrape"
"chondroitin sulfate","Cosequin DS Plus MSM with Chondroitin","https://www.amazon.com/s?k=Cosequin+DS+Plus+MSM+Chondroitin&tag=robinfrench-20","B003ULL1NQ","scrape"
"cranberry extract","NOW Supplements Cranberry Extract 5000 mg","https://www.amazon.com/s?k=NOW+Supplements+Cranberry+Extract+5000+mg&tag=robinfrench-20","B01N7KMPU3","scrape"
"curcumin (turmeric extract)","NOW Supplements Curcumin with BioPerine","https://www.amazon.com/s?k=NOW+Supplements+Curcumin+BioPerine&tag=robinfrench-20","B0CK3C31JP","scrape"
"d-mannose","NOW Supplements D-Mannose Powder","https://www.amazon.com/s?k=NOW+Supplements+D-Mannose+Powder&tag=robinfrench-20","B01N6X9YBS","scrape"
"egg yolks","Vital Farms Pasture-Raised Eggs","https://www.amazon.com/s?k=Vital+Farms+Pasture-Raised+Eggs&tag=robinfrench-20","B00M1QWODW","scrape"
"eggplant","Fresh Organic Eggplant","https://www.amazon.com/s?k=fresh+organic+eggplant&tag=robinfrench-20","B001PLGQPQ","scrape"
"eggshells (crushed)","NOW Supplements Calcium Carbonate Powder","https://www.amazon.com/s?k=NOW+Supplements+Calcium+Carbonate+Powder&tag=robinfrench-20","B004421K68","scrape"
"fish broth (no salt)","Brutus Fish Broth for Dogs No Salt","https://www.amazon.com/s?k=Brutus+Fish+Broth+Dogs+No+Salt&tag=robinfrench-20","B07DFQFLJL","scrape"
"fructooligosaccharides (fos)","NOW Supplements FOS Prebiotic Fiber","https://www.amazon.com/s?k=NOW+Supplements+FOS+Prebiotic+Fiber&tag=robinfrench-20","B08Q7KZYKC","scrape"
"glucosamine sulfate","Cosequin DS Plus MSM Glucosamine","https://www.amazon.com/s?k=Cosequin+DS+Plus+MSM+Glucosamine&tag=robinfrench-20","B003ULL1NQ","scrape"
"green beans","Fresh Organic Green Beans","https://www.amazon.com/s?k=fresh+organic+green+beans&tag=robinfrench-20","B0DDTC6QNY","scrape"
"green beans (cooked)","Fresh Organic Green Beans","https://www.amazon.com/s?k=fresh+organic+green+beans&tag=robinfrench-20","B0DDTC6QNY","scrape"
"hairball control paste","Tomlyn Laxatone Hairball Remedy","https://www.amazon.com/s?k=Tomlyn+Laxatone+Hairball+Remedy&tag=robinfrench-20","B07B282MR4","scrape"
"hyaluronic acid","NOW Supplements Hyaluronic Acid 100 mg","https://www.amazon.com/s?k=NOW+Supplements+Hyaluronic+Acid+100+mg&tag=robinfrench-20","B07XHNCJMC","scrape"
"inulin (prebiotic)","NOW Supplements Inulin Prebiotic Fiber","https://www.amazon.com/s?k=NOW+Supplements+Inulin+Prebiotic+Fiber&tag=robinfrench-20","B08Q7KZYKC","scrape"
"jerusalem artichoke","Fresh Jerusalem Artichoke Sunchokes","https://www.amazon.com/s?k=fresh+Jerusalem+artichoke+sunchokes&tag=robinfrench-20","B0CQK5XCVZ","scrape"
"joint health supplement","Cosequin DS Plus MSM for Dogs","https://www.amazon.com/s?k=Cosequin+DS+Plus+MSM+Dogs&tag=robinfrench-20","B003ULL1NQ","scrape"
"l-carnitine powder","NOW Supplements L-Carnitine 500 mg","https://www.amazon.com/s?k=NOW+Supplements+L-Carnitine+500+mg&tag=robinfrench-20","B06Y1BTLGK","scrape"
"lysine powder","NOW Supplements L-Lysine 1000 mg","https://www.amazon.com/s?k=NOW+Supplements+L-Lysine+1000+mg&tag=robinfrench-20","B00V3MR88G","scrape"
"malabar spinach","Fresh Malabar Spinach Leaves","https://www.amazon.com/s?k=fresh+Malabar+spinach+leaves&tag=robinfrench-20","B0DLT7BSNJ","scrape"
"mannanoligosaccharides (mos)","NOW Supplements MOS Prebiotic","https://www.amazon.com/s?k=NOW+Supplements+MOS+Prebiotic&tag=robinfrench-20","B0CRFWM2Z6","scrape"
"milk thistle","NOW Supplements Milk Thistle 150 mg","https://www.amazon.com/s?k=NOW+Supplements+Milk+Thistle+150+mg&tag=robinfrench-20","B0019LVFD0","scrape"
"new zealand spinach","Fresh New Zealand Spinach","https://www.amazon.com/s?k=fresh+New+Zealand+spinach&tag=robinfrench-20","B0C8VD126M","scrape"
"niacinamide","NOW Supplements Niacinamide 500 mg","https://www.amazon.com/s?k=NOW+Supplements+Niacinamide+500+mg&tag=robinfrench-20","B0CZMBZPLV","scrape"
"oats (rolled)","Bob\","https://www.amazon.com/s?k=Bob%27s+Red+Mill+Old+Fashioned+Rolled+Oats&tag=robinfrench-20","B07VCM66N6","scrape"
"peas","Fresh Organic Green Peas","https://www.amazon.com/s?k=fresh+organic+green+peas&tag=robinfrench-20","B07D1NGQ6B","scrape"
"peas (mashed)","Fresh Organic Green Peas","https://www.amazon.com/s?k=fresh+organic+green+peas&tag=robinfrench-20","B07D1NGQ6B","scrape"
"pectin (from apples)","NOW Supplements Apple Pectin Powder","https://www.amazon.com/s?k=NOW+Supplements+Apple+Pectin+Powder&tag=robinfrench-20","B01CO69SYG","scrape"
"pumpkin seed oil","NOW Solutions Pumpkin Seed Oil","https://www.amazon.com/s?k=NOW+Solutions+Pumpkin+Seed+Oil&tag=robinfrench-20","B0FKYLMWYG","scrape"
"quail eggs","Fresh Quail Eggs","https://www.amazon.com/s?k=fresh+quail+eggs&tag=robinfrench-20","B0BSRGV9PR","scrape"
"quercetin","NOW Supplements Quercetin with Bromelain","https://www.amazon.com/s?k=NOW+Supplements+Quercetin+Bromelain&tag=robinfrench-20","B08M5L372P","scrape"
"rice (hulled)","Lundberg Organic Brown Rice","https://www.amazon.com/s?k=Lundberg+Organic+Brown+Rice&tag=robinfrench-20","B072JNNB33","scrape"
"romanesco broccoli","Fresh Romanesco Broccoli","https://www.amazon.com/s?k=fresh+romanesco+broccoli&tag=robinfrench-20","B01I1Q74MQ","scrape"
"s-adenosyl methionine (sam-e)","NOW Supplements SAM-e 200 mg","https://www.amazon.com/s?k=NOW+Supplements+SAM-e+200+mg&tag=robinfrench-20","B000OSSQFY","scrape"
"sardines (in water)","Wild Planet Sardines in Water No Salt","https://www.amazon.com/s?k=Wild+Planet+Sardines+Water+No+Salt&tag=robinfrench-20","B01FUWYO2M","scrape"
"snap peas","Fresh Organic Snap Peas","https://www.amazon.com/s?k=fresh+organic+snap+peas&tag=robinfrench-20","B077L6C7YB","scrape"
"snow peas","Fresh Organic Snow Peas","https://www.amazon.com/s?k=fresh+organic+snow+peas&tag=robinfrench-20","B07MGSDD7L","scrape"
"snow peas (mashed)","Fresh Organic Snow Peas","https://www.amazon.com/s?k=fresh+organic+snow+peas&tag=robinfrench-20","B08KRNKC9G","scrape"
"split peas","Bob\","https://www.amazon.com/s?k=Bob%27s+Red+Mill+Split+Peas&tag=robinfrench-20","B08DVGSW58","scrape"
"split peas (mashed)","Bob\","https://www.amazon.com/s?k=Bob%27s+Red+Mill+Split+Peas&tag=robinfrench-20","B08DVGSW58","scrape"
"sugar snap peas","Fresh Organic Sugar Snap Peas","https://www.amazon.com/s?k=fresh+organic+sugar+snap+peas&tag=robinfrench-20","B08DVGSW58","scrape"
"sugar snap peas (mashed)","Fresh Organic Sugar Snap Peas","https://www.amazon.com/s?k=fresh+organic+sugar+snap+peas&tag=robinfrench-20","B08DVGSW58","scrape"
"turkey broth (no salt)","Brutus Turkey Broth for Dogs No Salt","https://www.amazon.com/s?k=Brutus+Turkey+Broth+Dogs+No+Salt&tag=robinfrench-20","B07DFQFLJL","scrape"
"vitamin b complex","Thorne B-Complex #12","https://www.amazon.com/s?k=Thorne+B-Complex+%2312&tag=robinfrench-20","B01INRFW0E","scrape"
"vitamin c (small amounts)","NOW Supplements Vitamin C 1000 mg","https://www.amazon.com/s?k=NOW+Supplements+Vitamin+C+1000+mg&tag=robinfrench-20","B074GCB1ND","scrape"
"watercress","Fresh Organic Watercress","https://www.amazon.com/s?k=fresh+organic+watercress&tag=robinfrench-20","B0BSK8P8KS","scrape"
"watercress (small amounts)","Fresh Organic Watercress","https://www.amazon.com/s?k=fresh+organic+watercress&tag=robinfrench-20","B0BSK8P8KS","scrape"
"wheat germ","Bob\","https://www.amazon.com/s?k=Bob%27s+Red+Mill+Wheat+Germ&tag=robinfrench-20","B0FKBVN6XP","scrape"
"wild rice","Lundberg Organic Wild Rice","https://www.amazon.com/s?k=Lundberg+Organic+Wild+Rice&tag=robinfrench-20","B089CP461X","scrape"