Priority,Ingredient,Product Name,ASIN,Issue,Verified,Notes,Link
HIGH,"ground beef (lean)","US Wellness Meats Pet Burger",B07VHR2WNZ,"Beef and venison are different meats",PENDING,,https://www.amazon.com/dp/B07VHR2WNZ?tag=robinfrench-20
HIGH,"ground lamb","Raw Paws Lamb Recipe Rolls",B0082C00P8,"Dead link (HTTP 405) - needs replacement",DEAD,,https://www.amazon.com/dp/B0082C00P8?tag=robinfrench-20
HIGH,"chicken hearts","Vital Essentials Freeze Dried Chicken Hearts",B0BXZ3JJL9,"Chicken and turkey are different poultry",PENDING,,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20
HIGH,"sardines (canned in water)","Wild Planet Sardines in Water No Salt",B01FUWYO2M,"Sardines and herring are different fish",PENDING,,https://www.amazon.com/dp/B01FUWYO2M?tag=robinfrench-20
HIGH,"turkey giblets","Vital Essentials Freeze Dried Turkey Giblets",B0BXZ3JJL9,"Chicken and turkey are different poultry",PENDING,,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20
HIGH,"venison","Fresh Is Best Freeze Dried Venison Bites",B07VHR2WNZ,"Beef and venison are different meats",PENDING,,https://www.amazon.com/dp/B07VHR2WNZ?tag=robinfrench-20
HIGH,"rabbit meat","Evanger's Rabbit Grain Free Cans",B0082C00P8,"Dead link (HTTP 405) - needs replacement",DEAD,,https://www.amazon.com/dp/B0082C00P8?tag=robinfrench-20
HIGH,"endive","Organic Endive Greens",B0006L2XNK,"Dead link (HTTP 405) - needs replacement",DEAD,,https://www.amazon.com/dp/B0006L2XNK?tag=robinfrench-20
HIGH,"canary seed","Lafeber's Parrot Food Canary Seed",B00027ZVG4,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
HIGH,"niger seed","Lafeber's Parrot Food Niger Seed",B086211R4H,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
HIGH,"oat groats","Lafeber's Parrot Food Oat Groats",B086211R4H,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
HIGH,"hemp seeds","Lafeber's Parrot Food Hemp Seed",B086211R4H,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
HIGH,"flaxseeds","Lafeber's Parrot Food Flax Seed",B00027ZVG4,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
HIGH,"sesame seeds","Lafeber's Parrot Food Sesame Seed",B086211R4H,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
HIGH,"chia seeds","Lafeber's Parrot Food Chia Seed",B086211R4H,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
HIGH,"rapeseed","Lafeber's Parrot Food Rapeseed",B00027ZVG4,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
HIGH,"sunflower seeds (small amounts)","Lafeber's Parrot Food Sunflower Seed",B00027ZVG4,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
HIGH,"pumpkin seeds","Lafeber's Parrot Food Pumpkin Seed",B00027ZVG4,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
HIGH,"mango","Organic Mango",B00WM6CHFQ,"Mango and chia oil are completely different",PENDING,,https://www.amazon.com/dp/B00WM6CHFQ?tag=robinfrench-20
HIGH,"egg (hard-boiled)","Vital Essentials Freeze Dried Egg Yolk Treats",B0BWBNT8JX,"Eggs and duck hearts are different",PENDING,,https://www.amazon.com/dp/B0BWBNT8JX?tag=robinfrench-20
HIGH,"pellets (fortified)","Lafeber's Parrot Food Pellets",B086211R4H,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
HIGH,"cuttlebone","Lafeber's Parrot Food Cuttlebone",B00027ZVG4,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
HIGH,"duck hearts","Vital Essentials Freeze Dried Duck Hearts",B0BWBNT8JX,"Eggs and duck hearts are different",PENDING,,https://www.amazon.com/dp/B0BWBNT8JX?tag=robinfrench-20
HIGH,"herring (canned)","Crown Prince Canned Herring",B01FUWYO2M,"Sardines and herring are different fish",PENDING,,https://www.amazon.com/dp/B01FUWYO2M?tag=robinfrench-20
HIGH,"chia seed oil","Healthworks Organic Chia Seed Oil",B00WM6CHFQ,"Mango and chia oil are completely different",PENDING,,https://www.amazon.com/dp/B00WM6CHFQ?tag=robinfrench-20
HIGH,"sardines (in water)","Wild Planet Sardines in Water No Salt",B01FUWYO2M,"Sardines and herring are different fish",PENDING,,https://www.amazon.com/dp/B01FUWYO2M?tag=robinfrench-20
MEDIUM,"ground chicken","Fresh Is Best Freeze Dried Chicken Breast",B0BXZVFN6G,"Shared with: chicken giblets",PENDING,,https://www.amazon.com/dp/B0BXZVFN6G?tag=robinfrench-20
MEDIUM,"chicken giblets","Fresh Is Best Freeze Dried Chicken Giblets",B0BXZVFN6G,"Shared with: ground chicken",PENDING,,https://www.amazon.com/dp/B0BXZVFN6G?tag=robinfrench-20
MEDIUM,"brown rice","Lundberg Family Farms Organic Brown Rice",B072JNNB33,"Shared with: rice (hulled)",PENDING,,https://www.amazon.com/dp/B072JNNB33?tag=robinfrench-20
MEDIUM,"kale","Earthbound Farm Organic Kale",B09VKDGT39,"Shared with: celery",PENDING,,https://www.amazon.com/dp/B09VKDGT39?tag=robinfrench-20
MEDIUM,"celery","Earthbound Farm Organic Celery",B09VKDGT39,"Shared with: kale",PENDING,,https://www.amazon.com/dp/B09VKDGT39?tag=robinfrench-20
MEDIUM,"lettuce (romaine)","Organic Girl Romaine Lettuce",B0F3YTY4XQ,"Shared with: romaine lettuce",PENDING,,https://www.amazon.com/dp/B0F3YTY4XQ?tag=robinfrench-20
MEDIUM,"salmon oil","Grizzly Salmon Plus Omega-3 Oil",B09RYYWHH1,"Shared with: omega-3 oil",PENDING,,https://www.amazon.com/dp/B09RYYWHH1?tag=robinfrench-20
MEDIUM,"fish oil","Nordic Naturals Omega-3 Pet",B00CBY93XS,"Shared with: herring oil",PENDING,,https://www.amazon.com/dp/B00CBY93XS?tag=robinfrench-20
MEDIUM,"calcium carbonate","NOW Supplements Calcium Carbonate Powder",B004421K68,"Shared with: eggshells (crushed)",PENDING,,https://www.amazon.com/dp/B004421K68?tag=robinfrench-20
MEDIUM,"b-complex","Thorne B-Complex #12",B01INRFW0E,"Shared with: vitamin b complex",PENDING,,https://www.amazon.com/dp/B01INRFW0E?tag=robinfrench-20
MEDIUM,"joint supplement","Cosequin DS Plus MSM for Dogs",B003ULL1NQ,"Shared with: chondroitin sulfate, glucosamine sulfate, joint health supplement",PENDING,,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20
MEDIUM,"hairball paste","Tomlyn Laxatone Hairball Remedy",B07B282MR4,"Shared with: hairball control paste",PENDING,,https://www.amazon.com/dp/B07B282MR4?tag=robinfrench-20
MEDIUM,"chicken broth","Brutus Bone Broth for Dogs No Salt",B07DFNP37Y,"Shared with: bone broth (low sodium)",PENDING,,https://www.amazon.com/dp/B07DFNP37Y?tag=robinfrench-20
MEDIUM,"dubia roaches","Josh's Frogs Live Dubia Roaches",B09QD6PBB8,"Shared with: small dubia roaches",PENDING,,https://www.amazon.com/dp/B09QD6PBB8?tag=robinfrench-20
MEDIUM,"orchard grass hay","Oxbow Animal Health Orchard Grass Hay",B00S6Y8MHU,"Shared with: bluegrass hay",PENDING,,https://www.amazon.com/dp/B00S6Y8MHU?tag=robinfrench-20
MEDIUM,"romaine lettuce","Organic Girl Romaine Lettuce",B0F3YTY4XQ,"Shared with: lettuce (romaine)",PENDING,,https://www.amazon.com/dp/B0F3YTY4XQ?tag=robinfrench-20
MEDIUM,"black currant oil","NOW Foods Black Currant Seed Oil",B01FXEM0BY,"Shared with: borage oil",PENDING,,https://www.amazon.com/dp/B01FXEM0BY?tag=robinfrench-20
MEDIUM,"herring oil","Nordic Naturals Pet Herring Oil",B00CBY93XS,"Shared with: fish oil",PENDING,,https://www.amazon.com/dp/B00CBY93XS?tag=robinfrench-20
MEDIUM,"borage oil","NOW Foods Borage Oil Softgels",B01FXEM0BY,"Shared with: black currant oil",PENDING,,https://www.amazon.com/dp/B01FXEM0BY?tag=robinfrench-20
MEDIUM,"avocado oil","Chosen Foods Pure Avocado Oil",B0C3WCRNPN,"Shared with: avocado oil (tiny amounts)",PENDING,,https://www.amazon.com/dp/B0C3WCRNPN?tag=robinfrench-20
MEDIUM,"avocado oil (tiny amounts)","Chosen Foods Pure Avocado Oil",B0C3WCRNPN,"Shared with: avocado oil",PENDING,,https://www.amazon.com/dp/B0C3WCRNPN?tag=robinfrench-20
MEDIUM,"omega-3 oil","Grizzly Salmon Oil for Pets",B09RYYWHH1,"Shared with: salmon oil",PENDING,,https://www.amazon.com/dp/B09RYYWHH1?tag=robinfrench-20
MEDIUM,"buckwheat","Bob's Red Mill Raw Hulled Buckwheat Groats",B00KQ17MDG,"Shared with: buckwheat (tiny amounts)",PENDING,,https://www.amazon.com/dp/B00KQ17MDG?tag=robinfrench-20
MEDIUM,"buckwheat (tiny amounts)","Bob's Red Mill Raw Hulled Buckwheat Groats",B00KQ17MDG,"Shared with: buckwheat",PENDING,,https://www.amazon.com/dp/B00KQ17MDG?tag=robinfrench-20
MEDIUM,"sorghum","Bob's Red Mill Whole Grain Sorghum",B0FKBVN6XP,"Shared with: millet, farro, teff seeds, wheat germ",PENDING,,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
MEDIUM,"barley (cooked, minimal)","Bob's Red Mill Hulled Barley Grain",B00QKP257A,"Shared with: barley (hulled)",PENDING,,https://www.amazon.com/dp/B00QKP257A?tag=robinfrench-20
MEDIUM,"barley (hulled)","Bob's Red Mill Hulled Barley Grain",B00QKP257A,"Shared with: barley (cooked, minimal)",PENDING,,https://www.amazon.com/dp/B00QKP257A?tag=robinfrench-20
MEDIUM,"millet","Bob's Red Mill Whole Grain Millet",B0FKBVN6XP,"Shared with: sorghum, farro, teff seeds, wheat germ",PENDING,,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
MEDIUM,"farro","Bob's Red Mill Farro Grain",B0FKBVN6XP,"Shared with: sorghum, millet, teff seeds, wheat germ",PENDING,,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
MEDIUM,"amaranth (tiny amounts)","Bob's Red Mill Whole Grain Amaranth Seed",B000V1O40U,"Shared with: amaranth seeds",PENDING,,https://www.amazon.com/dp/B000V1O40U?tag=robinfrench-20
MEDIUM,"amaranth seeds","Bob's Red Mill Whole Grain Amaranth Seed",B000V1O40U,"Shared with: amaranth (tiny amounts)",PENDING,,https://www.amazon.com/dp/B000V1O40U?tag=robinfrench-20
MEDIUM,"teff seeds","Bob's Red Mill Whole Grain Teff Seeds",B0FKBVN6XP,"Shared with: sorghum, millet, farro, wheat germ",PENDING,,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
MEDIUM,"safflower seeds","Wagner's Pure Safflower Seed Bird Food",B0FWLFGG21,"Shared with: wild bird mix",PENDING,,https://www.amazon.com/dp/B0FWLFGG21?tag=robinfrench-20
MEDIUM,"bok choi","Fresh Baby Bok Choy",B0FN4YGSK6,"Shared with: bok choy (small amounts)",PENDING,,https://www.amazon.com/dp/B0FN4YGSK6?tag=robinfrench-20
MEDIUM,"bok choy (small amounts)","Fresh Baby Bok Choy",B0FN4YGSK6,"Shared with: bok choi",PENDING,,https://www.amazon.com/dp/B0FN4YGSK6?tag=robinfrench-20
MEDIUM,"kidney beans (mashed)","Goya Canned Dark Red Kidney Beans Low Sodium",B00552005I,"Shared with: kidney beans (mashed, tiny amounts)",PENDING,,https://www.amazon.com/dp/B00552005I?tag=robinfrench-20
MEDIUM,"kidney beans (mashed, tiny amounts)","Goya Canned Dark Red Kidney Beans Low Sodium",B00552005I,"Shared with: kidney beans (mashed)",PENDING,,https://www.amazon.com/dp/B00552005I?tag=robinfrench-20
MEDIUM,"swiss chard","Fresh Swiss Chard",B07F12P248,"Shared with: swiss chard (cooked, tiny amounts)",PENDING,,https://www.amazon.com/dp/B07F12P248?tag=robinfrench-20
MEDIUM,"swiss chard (cooked, tiny amounts)","Fresh Swiss Chard",B07F12P248,"Shared with: swiss chard",PENDING,,https://www.amazon.com/dp/B07F12P248?tag=robinfrench-20
MEDIUM,"mulberries","Terrasoul Dried Mulberries Organic",B074153BXC,"Shared with: cranberries",PENDING,,https://www.amazon.com/dp/B074153BXC?tag=robinfrench-20
MEDIUM,"cranberries","NOW Foods Dried Cranberries Unsweetened",B074153BXC,"Shared with: mulberries",PENDING,,https://www.amazon.com/dp/B074153BXC?tag=robinfrench-20
MEDIUM,"small dubia roaches","Small Live Dubia Roaches Feeder",B09QD6PBB8,"Shared with: dubia roaches",PENDING,,https://www.amazon.com/dp/B09QD6PBB8?tag=robinfrench-20
MEDIUM,"bluegrass hay","Small Pet Select Bluegrass Hay",B00S6Y8MHU,"Shared with: orchard grass hay",PENDING,,https://www.amazon.com/dp/B00S6Y8MHU?tag=robinfrench-20
MEDIUM,"wild bird mix","Lyric Wild Bird Mix No Filler",B0FWLFGG21,"Shared with: safflower seeds",PENDING,,https://www.amazon.com/dp/B0FWLFGG21?tag=robinfrench-20
MEDIUM,"bone broth (low sodium)","Brutus Bone Broth for Dogs Low Sodium",B07DFNP37Y,"Shared with: chicken broth",PENDING,,https://www.amazon.com/dp/B07DFNP37Y?tag=robinfrench-20
MEDIUM,"chicory root","NOW Supplements Inulin Prebiotic Fiber",B08Q7KZYKC,"Shared with: fructooligosaccharides (fos), inulin (prebiotic)",PENDING,,https://www.amazon.com/dp/B08Q7KZYKC?tag=robinfrench-20
MEDIUM,"chondroitin sulfate","Cosequin DS Plus MSM with Chondroitin",B003ULL1NQ,"Shared with: joint supplement, glucosamine sulfate, joint health supplement",PENDING,,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20
MEDIUM,"eggshells (crushed)","NOW Supplements Calcium Carbonate Powder",B004421K68,"Shared with: calcium carbonate",PENDING,,https://www.amazon.com/dp/B004421K68?tag=robinfrench-20
MEDIUM,"fish broth (no salt)","Brutus Fish Broth for Dogs No Salt",B07DFQFLJL,"Shared with: turkey broth (no salt)",PENDING,,https://www.amazon.com/dp/B07DFQFLJL?tag=robinfrench-20
MEDIUM,"fructooligosaccharides (fos)","NOW Supplements FOS Prebiotic Fiber",B08Q7KZYKC,"Shared with: chicory root, inulin (prebiotic)",PENDING,,https://www.amazon.com/dp/B08Q7KZYKC?tag=robinfrench-20
MEDIUM,"glucosamine sulfate","Cosequin DS Plus MSM Glucosamine",B003ULL1NQ,"Shared with: joint supplement, chondroitin sulfate, joint health supplement",PENDING,,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20
MEDIUM,"green beans","Fresh Organic Green Beans",B0DDTC6QNY,"Shared with: green beans (cooked)",PENDING,,https://www.amazon.com/dp/B0DDTC6QNY?tag=robinfrench-20
MEDIUM,"green beans (cooked)","Fresh Organic Green Beans",B0DDTC6QNY,"Shared with: green beans",PENDING,,https://www.amazon.com/dp/B0DDTC6QNY?tag=robinfrench-20
MEDIUM,"hairball control paste","Tomlyn Laxatone Hairball Remedy",B07B282MR4,"Shared with: hairball paste",PENDING,,https://www.amazon.com/dp/B07B282MR4?tag=robinfrench-20
MEDIUM,"inulin (prebiotic)","NOW Supplements Inulin Prebiotic Fiber",B08Q7KZYKC,"Shared with: chicory root, fructooligosaccharides (fos)",PENDING,,https://www.amazon.com/dp/B08Q7KZYKC?tag=robinfrench-20
MEDIUM,"joint health supplement","Cosequin DS Plus MSM for Dogs",B003ULL1NQ,"Shared with: joint supplement, chondroitin sulfate, glucosamine sulfate",PENDING,,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20
MEDIUM,"peas","Fresh Organic Green Peas",B07D1NGQ6B,"Shared with: peas (mashed)",PENDING,,https://www.amazon.com/dp/B07D1NGQ6B?tag=robinfrench-20
MEDIUM,"peas (mashed)","Fresh Organic Green Peas",B07D1NGQ6B,"Shared with: peas",PENDING,,https://www.amazon.com/dp/B07D1NGQ6B?tag=robinfrench-20
MEDIUM,"rice (hulled)","Lundberg Organic Brown Rice",B072JNNB33,"Shared with: brown rice",PENDING,,https://www.amazon.com/dp/B072JNNB33?tag=robinfrench-20
MEDIUM,"split peas","Bob's Red Mill Split Peas",B08DVGSW58,"Shared with: split peas (mashed), sugar snap peas, sugar snap peas (mashed)",PENDING,,https://www.amazon.com/dp/B08DVGSW58?tag=robinfrench-20
MEDIUM,"split peas (mashed)","Bob's Red Mill Split Peas",B08DVGSW58,"Shared with: split peas, sugar snap peas, sugar snap peas (mashed)",PENDING,,https://www.amazon.com/dp/B08DVGSW58?tag=robinfrench-20
MEDIUM,"sugar snap peas","Fresh Organic Sugar Snap Peas",B08DVGSW58,"Shared with: split peas, split peas (mashed), sugar snap peas (mashed)",PENDING,,https://www.amazon.com/dp/B08DVGSW58?tag=robinfrench-20
MEDIUM,"sugar snap peas (mashed)","Fresh Organic Sugar Snap Peas",B08DVGSW58,"Shared with: split peas, split peas (mashed), sugar snap peas",PENDING,,https://www.amazon.com/dp/B08DVGSW58?tag=robinfrench-20
MEDIUM,"turkey broth (no salt)","Brutus Turkey Broth for Dogs No Salt",B07DFQFLJL,"Shared with: fish broth (no salt)",PENDING,,https://www.amazon.com/dp/B07DFQFLJL?tag=robinfrench-20
MEDIUM,"vitamin b complex","Thorne B-Complex #12",B01INRFW0E,"Shared with: b-complex",PENDING,,https://www.amazon.com/dp/B01INRFW0E?tag=robinfrench-20
MEDIUM,"watercress","Fresh Organic Watercress",B0BSK8P8KS,"Shared with: watercress (small amounts)",PENDING,,https://www.amazon.com/dp/B0BSK8P8KS?tag=robinfrench-20
MEDIUM,"watercress (small amounts)","Fresh Organic Watercress",B0BSK8P8KS,"Shared with: watercress",PENDING,,https://www.amazon.com/dp/B0BSK8P8KS?tag=robinfrench-20
MEDIUM,"wheat germ","Bob's Red Mill Wheat Germ",B0FKBVN6XP,"Shared with: sorghum, millet, farro, teff seeds",PENDING,,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20