Status,Ingredient,Product Name,ASIN,Confidence,Issues,Notes,Action Needed,Link
NEEDS-REVIEW,"ground chicken","Fresh Is Best Freeze Dried Chicken Breast",B0BXZVFN6G,MEDIUM,"Duplicate ASIN shared with: chicken giblets","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0BXZVFN6G?tag=robinfrench-20
AUTO-INVALID,"ground beef (lean)","US Wellness Meats Pet Burger",B07VHR2WNZ,LOW,"CRITICAL: Missing required tokens: beef, ground; CRITICAL: Contains forbidden tokens: burger; WARNING: No acceptable form found. Expected one of: raw, frozen, fresh, lean","❌ Failed validation - likely wrong product",FIND NEW ASIN,https://www.amazon.com/dp/B07VHR2WNZ?tag=robinfrench-20
AUTO-INVALID,"ground lamb","Raw Paws Lamb Recipe Rolls",B0082C00P8,HIGH,"Dead link (HTTP 405)","NEEDS REPLACEMENT - Link is dead",FIND NEW ASIN,https://www.amazon.com/dp/B0082C00P8?tag=robinfrench-20
NEEDS-REVIEW,"chicken hearts","Vital Essentials Freeze Dried Chicken Hearts",B0BXZ3JJL9,MEDIUM,"WARNING: No acceptable form found. Expected one of: raw, frozen, fresh","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20
NEEDS-REVIEW,"sardines (canned in water)","Wild Planet Sardines in Water No Salt",B01FUWYO2M,MEDIUM,"WARNING: No acceptable form found. Expected one of: canned, water packed","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B01FUWYO2M?tag=robinfrench-20
NEEDS-REVIEW,"turkey giblets","Vital Essentials Freeze Dried Turkey Giblets",B0BXZ3JJL9,MEDIUM,"WARNING: No acceptable form found. Expected one of: raw, frozen, fresh","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20
NEEDS-REVIEW,"chicken giblets","Fresh Is Best Freeze Dried Chicken Giblets",B0BXZVFN6G,MEDIUM,"Duplicate ASIN shared with: ground chicken","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0BXZVFN6G?tag=robinfrench-20
AUTO-INVALID,"venison","Fresh Is Best Freeze Dried Venison Bites",B07VHR2WNZ,LOW,"CRITICAL: Missing required tokens: deer","❌ Failed validation - likely wrong product",FIND NEW ASIN,https://www.amazon.com/dp/B07VHR2WNZ?tag=robinfrench-20
AUTO-INVALID,"rabbit meat","Evanger's Rabbit Grain Free Cans",B0082C00P8,HIGH,"Dead link (HTTP 405)","NEEDS REPLACEMENT - Link is dead",FIND NEW ASIN,https://www.amazon.com/dp/B0082C00P8?tag=robinfrench-20
NEEDS-REVIEW,"brown rice","Lundberg Family Farms Organic Brown Rice",B072JNNB33,MEDIUM,"WARNING: No acceptable form found. Expected one of: whole grain, long grain, short grain","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B072JNNB33?tag=robinfrench-20
NEEDS-REVIEW,"kale","Earthbound Farm Organic Kale",B09VKDGT39,MEDIUM,"Duplicate ASIN shared with: celery","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B09VKDGT39?tag=robinfrench-20
NEEDS-REVIEW,"celery","Earthbound Farm Organic Celery",B09VKDGT39,MEDIUM,"Duplicate ASIN shared with: kale","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B09VKDGT39?tag=robinfrench-20
NEEDS-REVIEW,"lettuce (romaine)","Organic Girl Romaine Lettuce",B0F3YTY4XQ,MEDIUM,"Duplicate ASIN shared with: romaine lettuce","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0F3YTY4XQ?tag=robinfrench-20
AUTO-INVALID,"endive","Organic Endive Greens",B0006L2XNK,HIGH,"Dead link (HTTP 405)","NEEDS REPLACEMENT - Link is dead",FIND NEW ASIN,https://www.amazon.com/dp/B0006L2XNK?tag=robinfrench-20
NEEDS-REVIEW,"salmon oil","Grizzly Salmon Plus Omega-3 Oil",B09RYYWHH1,MEDIUM,"Duplicate ASIN shared with: omega-3 oil","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B09RYYWHH1?tag=robinfrench-20
NEEDS-REVIEW,"fish oil","Nordic Naturals Omega-3 Pet",B00CBY93XS,MEDIUM,"Duplicate ASIN shared with: herring oil","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00CBY93XS?tag=robinfrench-20
NEEDS-REVIEW,"calcium carbonate","NOW Supplements Calcium Carbonate Powder",B004421K68,MEDIUM,"Duplicate ASIN shared with: eggshells (crushed)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B004421K68?tag=robinfrench-20
NEEDS-REVIEW,"b-complex","Thorne B-Complex #12",B01INRFW0E,MEDIUM,"Duplicate ASIN shared with: vitamin b complex","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B01INRFW0E?tag=robinfrench-20
NEEDS-REVIEW,"joint supplement","Cosequin DS Plus MSM for Dogs",B003ULL1NQ,MEDIUM,"Duplicate ASIN shared with: chondroitin sulfate, glucosamine sulfate, joint health supplement","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20
NEEDS-REVIEW,"hairball paste","Tomlyn Laxatone Hairball Remedy",B07B282MR4,MEDIUM,"Duplicate ASIN shared with: hairball control paste","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B07B282MR4?tag=robinfrench-20
NEEDS-REVIEW,"chicken broth","Brutus Bone Broth for Dogs No Salt",B07DFNP37Y,MEDIUM,"Duplicate ASIN shared with: bone broth (low sodium)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B07DFNP37Y?tag=robinfrench-20
NEEDS-REVIEW,"niger seed","Lafeber's Parrot Food Niger Seed",B086211R4H,MEDIUM,"WARNING: Only 33% of required tokens present","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"oat groats","Lafeber's Parrot Food Oat Groats",B086211R4H,MEDIUM,"Duplicate ASIN shared with: niger seed, hemp seeds, sesame seeds, chia seeds, pellets (fortified)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"sesame seeds","Lafeber's Parrot Food Sesame Seed",B086211R4H,MEDIUM,"Duplicate ASIN shared with: niger seed, oat groats, hemp seeds, chia seeds, pellets (fortified)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"rapeseed","Lafeber's Parrot Food Rapeseed",B00027ZVG4,MEDIUM,"Duplicate ASIN shared with: canary seed, flaxseeds, sunflower seeds (small amounts), pumpkin seeds, cuttlebone","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"sunflower seeds (small amounts)","Lafeber's Parrot Food Sunflower Seed",B00027ZVG4,MEDIUM,"WARNING: No acceptable form found. Expected one of: raw, shelled, unshelled","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"pumpkin seeds","Lafeber's Parrot Food Pumpkin Seed",B00027ZVG4,MEDIUM,"WARNING: No acceptable form found. Expected one of: raw, shelled, pepitas","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"mango","Organic Mango",B00WM6CHFQ,MEDIUM,"Duplicate ASIN shared with: chia seed oil","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00WM6CHFQ?tag=robinfrench-20
NEEDS-REVIEW,"egg (hard-boiled)","Vital Essentials Freeze Dried Egg Yolk Treats",B0BWBNT8JX,MEDIUM,"WARNING: No acceptable form found. Expected one of: hard boiled, hard-boiled, boiled, whole","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B0BWBNT8JX?tag=robinfrench-20
NEEDS-REVIEW,"pellets (fortified)","Lafeber's Parrot Food Pellets",B086211R4H,MEDIUM,"Duplicate ASIN shared with: niger seed, oat groats, hemp seeds, sesame seeds, chia seeds","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"cuttlebone","Lafeber's Parrot Food Cuttlebone",B00027ZVG4,MEDIUM,"Duplicate ASIN shared with: canary seed, flaxseeds, rapeseed, sunflower seeds (small amounts), pumpkin seeds","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"dubia roaches","Josh's Frogs Live Dubia Roaches",B09QD6PBB8,MEDIUM,"Duplicate ASIN shared with: small dubia roaches","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B09QD6PBB8?tag=robinfrench-20
NEEDS-REVIEW,"orchard grass hay","Oxbow Animal Health Orchard Grass Hay",B00S6Y8MHU,MEDIUM,"Duplicate ASIN shared with: bluegrass hay","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00S6Y8MHU?tag=robinfrench-20
NEEDS-REVIEW,"romaine lettuce","Organic Girl Romaine Lettuce",B0F3YTY4XQ,MEDIUM,"Duplicate ASIN shared with: lettuce (romaine)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0F3YTY4XQ?tag=robinfrench-20
NEEDS-REVIEW,"duck hearts","Vital Essentials Freeze Dried Duck Hearts",B0BWBNT8JX,MEDIUM,"WARNING: No acceptable form found. Expected one of: raw, frozen, fresh","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B0BWBNT8JX?tag=robinfrench-20
NEEDS-REVIEW,"black currant oil","NOW Foods Black Currant Seed Oil",B01FXEM0BY,MEDIUM,"Duplicate ASIN shared with: borage oil","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B01FXEM0BY?tag=robinfrench-20
NEEDS-REVIEW,"herring oil","Nordic Naturals Pet Herring Oil",B00CBY93XS,MEDIUM,"Duplicate ASIN shared with: fish oil","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00CBY93XS?tag=robinfrench-20
NEEDS-REVIEW,"borage oil","NOW Foods Borage Oil Softgels",B01FXEM0BY,MEDIUM,"Duplicate ASIN shared with: black currant oil","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B01FXEM0BY?tag=robinfrench-20
NEEDS-REVIEW,"avocado oil","Chosen Foods Pure Avocado Oil",B0C3WCRNPN,MEDIUM,"Duplicate ASIN shared with: avocado oil (tiny amounts)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0C3WCRNPN?tag=robinfrench-20
NEEDS-REVIEW,"avocado oil (tiny amounts)","Chosen Foods Pure Avocado Oil",B0C3WCRNPN,MEDIUM,"Duplicate ASIN shared with: avocado oil","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0C3WCRNPN?tag=robinfrench-20
NEEDS-REVIEW,"omega-3 oil","Grizzly Salmon Oil for Pets",B09RYYWHH1,MEDIUM,"Duplicate ASIN shared with: salmon oil","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B09RYYWHH1?tag=robinfrench-20
NEEDS-REVIEW,"buckwheat","Bob's Red Mill Raw Hulled Buckwheat Groats",B00KQ17MDG,MEDIUM,"Duplicate ASIN shared with: buckwheat (tiny amounts)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00KQ17MDG?tag=robinfrench-20
NEEDS-REVIEW,"buckwheat (tiny amounts)","Bob's Red Mill Raw Hulled Buckwheat Groats",B00KQ17MDG,MEDIUM,"Duplicate ASIN shared with: buckwheat","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00KQ17MDG?tag=robinfrench-20
NEEDS-REVIEW,"sorghum","Bob's Red Mill Whole Grain Sorghum",B0FKBVN6XP,MEDIUM,"Duplicate ASIN shared with: millet, farro, teff seeds, wheat germ","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
NEEDS-REVIEW,"barley (cooked, minimal)","Bob's Red Mill Hulled Barley Grain",B00QKP257A,MEDIUM,"Duplicate ASIN shared with: barley (hulled)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00QKP257A?tag=robinfrench-20
NEEDS-REVIEW,"barley (hulled)","Bob's Red Mill Hulled Barley Grain",B00QKP257A,MEDIUM,"Duplicate ASIN shared with: barley (cooked, minimal)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00QKP257A?tag=robinfrench-20
NEEDS-REVIEW,"millet","Bob's Red Mill Whole Grain Millet",B0FKBVN6XP,MEDIUM,"Duplicate ASIN shared with: sorghum, farro, teff seeds, wheat germ","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
NEEDS-REVIEW,"farro","Bob's Red Mill Farro Grain",B0FKBVN6XP,MEDIUM,"Duplicate ASIN shared with: sorghum, millet, teff seeds, wheat germ","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
NEEDS-REVIEW,"amaranth (tiny amounts)","Bob's Red Mill Whole Grain Amaranth Seed",B000V1O40U,MEDIUM,"Duplicate ASIN shared with: amaranth seeds","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B000V1O40U?tag=robinfrench-20
NEEDS-REVIEW,"amaranth seeds","Bob's Red Mill Whole Grain Amaranth Seed",B000V1O40U,MEDIUM,"Duplicate ASIN shared with: amaranth (tiny amounts)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B000V1O40U?tag=robinfrench-20
NEEDS-REVIEW,"teff seeds","Bob's Red Mill Whole Grain Teff Seeds",B0FKBVN6XP,MEDIUM,"Duplicate ASIN shared with: sorghum, millet, farro, wheat germ","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
NEEDS-REVIEW,"safflower seeds","Wagner's Pure Safflower Seed Bird Food",B0FWLFGG21,MEDIUM,"Duplicate ASIN shared with: wild bird mix","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0FWLFGG21?tag=robinfrench-20
NEEDS-REVIEW,"bok choi","Fresh Baby Bok Choy",B0FN4YGSK6,MEDIUM,"Duplicate ASIN shared with: bok choy (small amounts)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0FN4YGSK6?tag=robinfrench-20
NEEDS-REVIEW,"bok choy (small amounts)","Fresh Baby Bok Choy",B0FN4YGSK6,MEDIUM,"Duplicate ASIN shared with: bok choi","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0FN4YGSK6?tag=robinfrench-20
NEEDS-REVIEW,"kidney beans (mashed)","Goya Canned Dark Red Kidney Beans Low Sodium",B00552005I,MEDIUM,"Duplicate ASIN shared with: kidney beans (mashed, tiny amounts)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00552005I?tag=robinfrench-20
NEEDS-REVIEW,"kidney beans (mashed, tiny amounts)","Goya Canned Dark Red Kidney Beans Low Sodium",B00552005I,MEDIUM,"Duplicate ASIN shared with: kidney beans (mashed)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00552005I?tag=robinfrench-20
NEEDS-REVIEW,"swiss chard","Fresh Swiss Chard",B07F12P248,MEDIUM,"Duplicate ASIN shared with: swiss chard (cooked, tiny amounts)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B07F12P248?tag=robinfrench-20
NEEDS-REVIEW,"swiss chard (cooked, tiny amounts)","Fresh Swiss Chard",B07F12P248,MEDIUM,"Duplicate ASIN shared with: swiss chard","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B07F12P248?tag=robinfrench-20
NEEDS-REVIEW,"mulberries","Terrasoul Dried Mulberries Organic",B074153BXC,MEDIUM,"Duplicate ASIN shared with: cranberries","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B074153BXC?tag=robinfrench-20
NEEDS-REVIEW,"cranberries","NOW Foods Dried Cranberries Unsweetened",B074153BXC,MEDIUM,"Duplicate ASIN shared with: mulberries","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B074153BXC?tag=robinfrench-20
NEEDS-REVIEW,"small dubia roaches","Small Live Dubia Roaches Feeder",B09QD6PBB8,MEDIUM,"Duplicate ASIN shared with: dubia roaches","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B09QD6PBB8?tag=robinfrench-20
NEEDS-REVIEW,"bluegrass hay","Small Pet Select Bluegrass Hay",B00S6Y8MHU,MEDIUM,"Duplicate ASIN shared with: orchard grass hay","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00S6Y8MHU?tag=robinfrench-20
NEEDS-REVIEW,"wild bird mix","Lyric Wild Bird Mix No Filler",B0FWLFGG21,MEDIUM,"Duplicate ASIN shared with: safflower seeds","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0FWLFGG21?tag=robinfrench-20
NEEDS-REVIEW,"bone broth (low sodium)","Brutus Bone Broth for Dogs Low Sodium",B07DFNP37Y,MEDIUM,"Duplicate ASIN shared with: chicken broth","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B07DFNP37Y?tag=robinfrench-20
NEEDS-REVIEW,"chicory root","NOW Supplements Inulin Prebiotic Fiber",B08Q7KZYKC,MEDIUM,"Duplicate ASIN shared with: fructooligosaccharides (fos), inulin (prebiotic)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B08Q7KZYKC?tag=robinfrench-20
NEEDS-REVIEW,"chondroitin sulfate","Cosequin DS Plus MSM with Chondroitin",B003ULL1NQ,MEDIUM,"Duplicate ASIN shared with: joint supplement, glucosamine sulfate, joint health supplement","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20
NEEDS-REVIEW,"eggshells (crushed)","NOW Supplements Calcium Carbonate Powder",B004421K68,MEDIUM,"Duplicate ASIN shared with: calcium carbonate","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B004421K68?tag=robinfrench-20
NEEDS-REVIEW,"fish broth (no salt)","Brutus Fish Broth for Dogs No Salt",B07DFQFLJL,MEDIUM,"Duplicate ASIN shared with: turkey broth (no salt)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B07DFQFLJL?tag=robinfrench-20
NEEDS-REVIEW,"fructooligosaccharides (fos)","NOW Supplements FOS Prebiotic Fiber",B08Q7KZYKC,MEDIUM,"Duplicate ASIN shared with: chicory root, inulin (prebiotic)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B08Q7KZYKC?tag=robinfrench-20
NEEDS-REVIEW,"glucosamine sulfate","Cosequin DS Plus MSM Glucosamine",B003ULL1NQ,MEDIUM,"Duplicate ASIN shared with: joint supplement, chondroitin sulfate, joint health supplement","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20
NEEDS-REVIEW,"green beans","Fresh Organic Green Beans",B0DDTC6QNY,MEDIUM,"Duplicate ASIN shared with: green beans (cooked)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0DDTC6QNY?tag=robinfrench-20
NEEDS-REVIEW,"green beans (cooked)","Fresh Organic Green Beans",B0DDTC6QNY,MEDIUM,"Duplicate ASIN shared with: green beans","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0DDTC6QNY?tag=robinfrench-20
NEEDS-REVIEW,"hairball control paste","Tomlyn Laxatone Hairball Remedy",B07B282MR4,MEDIUM,"Duplicate ASIN shared with: hairball paste","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B07B282MR4?tag=robinfrench-20
NEEDS-REVIEW,"inulin (prebiotic)","NOW Supplements Inulin Prebiotic Fiber",B08Q7KZYKC,MEDIUM,"Duplicate ASIN shared with: chicory root, fructooligosaccharides (fos)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B08Q7KZYKC?tag=robinfrench-20
NEEDS-REVIEW,"joint health supplement","Cosequin DS Plus MSM for Dogs",B003ULL1NQ,MEDIUM,"Duplicate ASIN shared with: joint supplement, chondroitin sulfate, glucosamine sulfate","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20
NEEDS-REVIEW,"peas","Fresh Organic Green Peas",B07D1NGQ6B,MEDIUM,"Duplicate ASIN shared with: peas (mashed)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B07D1NGQ6B?tag=robinfrench-20
NEEDS-REVIEW,"peas (mashed)","Fresh Organic Green Peas",B07D1NGQ6B,MEDIUM,"Duplicate ASIN shared with: peas","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B07D1NGQ6B?tag=robinfrench-20
NEEDS-REVIEW,"rice (hulled)","Lundberg Organic Brown Rice",B072JNNB33,MEDIUM,"WARNING: Only 50% of required tokens present","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B072JNNB33?tag=robinfrench-20
NEEDS-REVIEW,"sardines (in water)","Wild Planet Sardines in Water No Salt",B01FUWYO2M,MEDIUM,"WARNING: No acceptable form found. Expected one of: canned, water packed","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B01FUWYO2M?tag=robinfrench-20
NEEDS-REVIEW,"split peas","Bob's Red Mill Split Peas",B08DVGSW58,MEDIUM,"Duplicate ASIN shared with: split peas (mashed), sugar snap peas, sugar snap peas (mashed)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B08DVGSW58?tag=robinfrench-20
NEEDS-REVIEW,"split peas (mashed)","Bob's Red Mill Split Peas",B08DVGSW58,MEDIUM,"Duplicate ASIN shared with: split peas, sugar snap peas, sugar snap peas (mashed)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B08DVGSW58?tag=robinfrench-20
NEEDS-REVIEW,"sugar snap peas","Fresh Organic Sugar Snap Peas",B08DVGSW58,MEDIUM,"Duplicate ASIN shared with: split peas, split peas (mashed), sugar snap peas (mashed)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B08DVGSW58?tag=robinfrench-20
NEEDS-REVIEW,"sugar snap peas (mashed)","Fresh Organic Sugar Snap Peas",B08DVGSW58,MEDIUM,"Duplicate ASIN shared with: split peas, split peas (mashed), sugar snap peas","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B08DVGSW58?tag=robinfrench-20
NEEDS-REVIEW,"turkey broth (no salt)","Brutus Turkey Broth for Dogs No Salt",B07DFQFLJL,MEDIUM,"Duplicate ASIN shared with: fish broth (no salt)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B07DFQFLJL?tag=robinfrench-20
NEEDS-REVIEW,"vitamin b complex","Thorne B-Complex #12",B01INRFW0E,MEDIUM,"Duplicate ASIN shared with: b-complex","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B01INRFW0E?tag=robinfrench-20
NEEDS-REVIEW,"watercress","Fresh Organic Watercress",B0BSK8P8KS,MEDIUM,"Duplicate ASIN shared with: watercress (small amounts)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0BSK8P8KS?tag=robinfrench-20
NEEDS-REVIEW,"watercress (small amounts)","Fresh Organic Watercress",B0BSK8P8KS,MEDIUM,"Duplicate ASIN shared with: watercress","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0BSK8P8KS?tag=robinfrench-20
NEEDS-REVIEW,"wheat germ","Bob's Red Mill Wheat Germ",B0FKBVN6XP,MEDIUM,"Duplicate ASIN shared with: sorghum, millet, farro, teff seeds","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20