rank,ingredient,amount_usd,asin,url,lastUpdated
1,joint supplement,36.97,B003ULL1NQ,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20,2025-12-12T20:51:42.585Z
2,chondroitin sulfate,36.97,B003ULL1NQ,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20,2025-12-12T21:05:53.676Z
3,glucosamine sulfate,36.97,B003ULL1NQ,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20,2025-12-12T21:06:36.710Z
4,joint health supplement,36.97,B003ULL1NQ,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20,2025-12-12T21:07:09.362Z
5,bermuda hay,36.80,B0FSVM5P3D,https://www.amazon.com/dp/B0FSVM5P3D?tag=robinfrench-20,2025-12-12T21:05:00.772Z
6,plums (pitted),35.99,B07P6Z8L76,https://www.amazon.com/dp/B07P6Z8L76?tag=robinfrench-20,2025-12-12T21:03:22.560Z
7,mackerel (canned),35.52,B017J9X8IA,https://www.amazon.com/dp/B017J9X8IA?tag=robinfrench-20,2025-12-12T20:56:09.986Z
8,orchard grass hay,34.99,B00S6Y8MHU,https://www.amazon.com/dp/B00S6Y8MHU?tag=robinfrench-20,2025-12-12T20:55:03.558Z
9,anchovy oil,34.99,B0FDNB2DVS,https://www.amazon.com/dp/B0FDNB2DVS?tag=robinfrench-20,2025-12-12T20:57:06.500Z
10,"barley (cooked, minimal)",34.99,B00QKP257A,https://www.amazon.com/dp/B00QKP257A?tag=robinfrench-20,2025-12-12T20:59:06.108Z
11,barley (hulled),34.99,B00QKP257A,https://www.amazon.com/dp/B00QKP257A?tag=robinfrench-20,2025-12-12T20:59:10.692Z
12,bluegrass hay,34.99,B00S6Y8MHU,https://www.amazon.com/dp/B00S6Y8MHU?tag=robinfrench-20,2025-12-12T21:04:46.822Z
13,mackerel oil,34.95,B01NBTJFJB,https://www.amazon.com/dp/B01NBTJFJB?tag=robinfrench-20,2025-12-12T20:57:16.222Z
14,malabar spinach,34.00,B0DLT7BSNJ,https://www.amazon.com/dp/B0DLT7BSNJ?tag=robinfrench-20,2025-12-12T21:07:23.821Z
15,probiotic powder,33.99,B0BGV8L7L2,https://www.amazon.com/dp/B0BGV8L7L2?tag=robinfrench-20,2025-12-12T20:51:32.894Z
16,algae oil (dha),33.11,B079J5YZSS,https://www.amazon.com/dp/B079J5YZSS?tag=robinfrench-20,2025-12-12T20:57:53.790Z
17,wheat germ oil,30.99,B001GAOHK2,https://www.amazon.com/dp/B001GAOHK2?tag=robinfrench-20,2025-12-12T20:57:44.060Z
18,chicken broth,30.48,B07DFNP37Y,https://www.amazon.com/dp/B07DFNP37Y?tag=robinfrench-20,2025-12-12T20:52:02.004Z
19,bone broth (low sodium),30.48,B07DFNP37Y,https://www.amazon.com/dp/B07DFNP37Y?tag=robinfrench-20,2025-12-12T21:05:39.622Z
20,beta-glucans,29.99,B08CXQV9V7,https://www.amazon.com/dp/B08CXQV9V7?tag=robinfrench-20,2025-12-16T03:25:47.431Z
21,black beans,29.99,B094WYT2BK,https://www.amazon.com/dp/B094WYT2BK?tag=robinfrench-20,2025-12-12T20:49:07.346Z
22,omega-3 capsules,29.99,B004OA5XP4,https://www.amazon.com/dp/B004OA5XP4?tag=robinfrench-20,2025-12-16T03:25:47.431Z
23,joint health powder,29.99,B0002APQY2,https://www.amazon.com/dp/B0002APQY2?tag=robinfrench-20,2025-12-16T03:25:47.431Z
24,fescue hay,29.99,B00S6YIF36,https://www.amazon.com/dp/B00S6YIF36?tag=robinfrench-20,2025-12-12T21:04:37.376Z
25,straw (wheat/pine),29.99,B0CDQMD1CB,https://www.amazon.com/dp/B0CDQMD1CB?tag=robinfrench-20,2025-12-12T21:04:51.497Z
26,s-adenosyl methionine (sam-e),29.99,B0002APQVQ,https://www.amazon.com/dp/B0002APQVQ?tag=robinfrench-20,2025-12-16T03:25:47.431Z
27,sardine oil,29.97,B0CXKHT5K2,https://www.amazon.com/dp/B0CXKHT5K2?tag=robinfrench-20,2025-12-12T20:57:20.966Z
28,black soldier fly larvae,29.95,B0BLZ88Q3R,https://www.amazon.com/dp/B0BLZ88Q3R?tag=robinfrench-20,2025-12-12T20:54:35.539Z
29,chicory root,29.95,B08Q7KZYKC,https://www.amazon.com/dp/B08Q7KZYKC?tag=robinfrench-20,2025-12-12T21:05:48.888Z
30,fructooligosaccharides (fos),29.95,B08Q7KZYKC,https://www.amazon.com/dp/B08Q7KZYKC?tag=robinfrench-20,2025-12-12T21:06:32.045Z
31,inulin (prebiotic),29.95,B08Q7KZYKC,https://www.amazon.com/dp/B08Q7KZYKC?tag=robinfrench-20,2025-12-12T21:07:00.337Z
32,digestive enzymes,29.92,B00O6FINFO,https://www.amazon.com/dp/B00O6FINFO?tag=robinfrench-20,2025-12-12T20:51:52.322Z
33,spirulina powder,29.89,B08S4982CC,https://www.amazon.com/dp/B08S4982CC?tag=robinfrench-20,2025-12-12T20:58:22.564Z
34,butterworms,28.99,B093BD8NXR,https://www.amazon.com/dp/B093BD8NXR?tag=robinfrench-20,2025-12-12T21:04:08.665Z
35,alfalfa hay,28.93,B0CM34Z4BQ,https://www.amazon.com/dp/B0CM34Z4BQ?tag=robinfrench-20,2025-12-12T20:55:08.164Z
36,corn (cracked),27.99,B01HHGD81C,https://www.amazon.com/dp/B01HHGD81C?tag=robinfrench-20,2025-12-12T21:00:03.238Z
37,figs,27.80,B08MDKF98D,https://www.amazon.com/dp/B08MDKF98D?tag=robinfrench-20,2025-12-12T20:54:49.396Z
38,curcumin (turmeric extract),26.99,B0CK3C31JP,https://www.amazon.com/dp/B0CK3C31JP?tag=robinfrench-20,2025-12-12T21:06:03.526Z
39,superworms,25.99,B01018SX5Y,https://www.amazon.com/dp/B01018SX5Y?tag=robinfrench-20,2025-12-12T20:54:30.992Z
40,green beans,25.56,B0DDTC6QNY,https://www.amazon.com/dp/B0DDTC6QNY?tag=robinfrench-20,2025-12-12T21:06:41.437Z
41,green beans (cooked),25.56,B0DDTC6QNY,https://www.amazon.com/dp/B0DDTC6QNY?tag=robinfrench-20,2025-12-12T21:06:46.007Z
42,flaxseed oil,25.19,B002VLZ830,https://www.amazon.com/dp/B002VLZ830?tag=robinfrench-20,2025-12-12T20:51:03.516Z
43,chicken hearts,24.99,B0BXZ3JJL9,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20,2025-12-16T03:25:47.431Z
44,turkey giblets,24.99,B0BXZ3JJL9,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20,2025-12-16T03:25:47.431Z
45,duck breast,24.99,B0BXZ3JJL9,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20,2025-12-16T03:25:47.431Z
46,duck liver,24.99,B0BXZ3JJL9,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20,2025-12-16T03:25:47.431Z
47,buckwheat (hulled),24.99,B0D15QDVW7,https://www.amazon.com/dp/B0D15QDVW7?tag=robinfrench-20,2025-12-12T20:58:51.848Z
48,pinhead crickets,24.99,B07196FX9W,https://www.amazon.com/dp/B07196FX9W?tag=robinfrench-20,2025-12-12T21:03:59.322Z
49,ground chicken,23.99,B0BXZVFN6G,https://www.amazon.com/dp/B0BXZVFN6G?tag=robinfrench-20,2025-12-12T20:46:50.423Z
50,chicken giblets,23.99,B0BXZVFN6G,https://www.amazon.com/dp/B0BXZVFN6G?tag=robinfrench-20,2025-12-12T20:47:56.190Z
51,hairball paste,23.99,B07B282MR4,https://www.amazon.com/dp/B07B282MR4?tag=robinfrench-20,2025-12-12T20:51:57.071Z
52,hairball control paste,23.99,B07B282MR4,https://www.amazon.com/dp/B07B282MR4?tag=robinfrench-20,2025-12-12T21:06:50.872Z
53,black currant oil,23.95,B01FXEM0BY,https://www.amazon.com/dp/B01FXEM0BY?tag=robinfrench-20,2025-12-12T20:56:42.792Z
54,borage oil,23.95,B01FXEM0BY,https://www.amazon.com/dp/B01FXEM0BY?tag=robinfrench-20,2025-12-12T20:57:25.485Z
55,purslane (small amounts),23.95,B0BWY8JWVL,https://www.amazon.com/dp/B0BWY8JWVL?tag=robinfrench-20,2025-12-12T21:00:49.880Z
56,coconut oil,23.45,B00UHCJKVG,https://www.amazon.com/dp/B00UHCJKVG?tag=robinfrench-20,2025-12-12T20:50:48.628Z
57,pinto beans (mashed),23.32,B0C4G2PR58,https://www.amazon.com/dp/B0C4G2PR58?tag=robinfrench-20,2025-12-12T21:00:40.288Z
58,ground lamb,22.99,B0082C00P8,https://www.amazon.com/dp/B0082C00P8?tag=robinfrench-20,2025-12-16T03:25:47.431Z
59,chicken necks,22.99,B0821PF71M,https://www.amazon.com/dp/B0821PF71M?tag=robinfrench-20,2025-12-12T20:55:41.686Z
60,jerusalem artichoke,22.99,B0CQK5XCVZ,https://www.amazon.com/dp/B0CQK5XCVZ?tag=robinfrench-20,2025-12-12T21:07:04.838Z
61,salmon oil,21.99,B01N9SSTG8,https://www.amazon.com/dp/B01N9SSTG8?tag=robinfrench-20,2025-12-16T03:25:47.431Z
62,fish oil,21.99,B01N9SSTG8,https://www.amazon.com/dp/B01N9SSTG8?tag=robinfrench-20,2025-12-16T03:25:47.431Z
63,herring oil,21.99,B01N9SSTG8,https://www.amazon.com/dp/B01N9SSTG8?tag=robinfrench-20,2025-12-16T03:25:47.431Z
64,krill oil,21.99,B01N9SSTG8,https://www.amazon.com/dp/B01N9SSTG8?tag=robinfrench-20,2025-12-16T03:25:47.431Z
65,omega-3 oil,21.99,B01N9SSTG8,https://www.amazon.com/dp/B01N9SSTG8?tag=robinfrench-20,2025-12-16T03:25:47.431Z
66,cat grass (wheatgrass),21.99,B0D45F9TGG,https://www.amazon.com/dp/B0D45F9TGG?tag=robinfrench-20,2025-12-12T21:02:30.763Z
67,quail,21.98,B0DK1SJ2Z7,https://www.amazon.com/dp/B0DK1SJ2Z7?tag=robinfrench-20,2025-12-12T20:48:14.932Z
68,pumpkin seed oil,21.98,B0FKYLMWYG,https://www.amazon.com/dp/B0FKYLMWYG?tag=robinfrench-20,2025-12-12T21:08:07.591Z
69,rabbit pellets (high fiber),21.67,B0017JANQY,https://www.amazon.com/dp/B0017JANQY?tag=robinfrench-20,2025-12-12T21:05:15.479Z
70,dandelion greens,21.11,B000WR4A5M,https://www.amazon.com/dp/B000WR4A5M?tag=robinfrench-20,2025-12-12T20:50:21.350Z
71,buckwheat,21.00,B00KQ17MDG,https://www.amazon.com/dp/B00KQ17MDG?tag=robinfrench-20,2025-12-12T20:58:42.291Z
72,buckwheat (tiny amounts),21.00,B00KQ17MDG,https://www.amazon.com/dp/B00KQ17MDG?tag=robinfrench-20,2025-12-12T20:58:47.053Z
73,split peas,20.99,B08DVGSW58,https://www.amazon.com/dp/B08DVGSW58?tag=robinfrench-20,2025-12-12T21:08:54.184Z
74,split peas (mashed),20.99,B08DVGSW58,https://www.amazon.com/dp/B08DVGSW58?tag=robinfrench-20,2025-12-12T21:08:58.721Z
75,sugar snap peas,20.99,B08DVGSW58,https://www.amazon.com/dp/B08DVGSW58?tag=robinfrench-20,2025-12-12T21:09:03.193Z
76,sugar snap peas (mashed),20.99,B08DVGSW58,https://www.amazon.com/dp/B08DVGSW58?tag=robinfrench-20,2025-12-12T21:09:07.623Z
77,cilantro,20.49,B07M9FWTRC,https://www.amazon.com/dp/B07M9FWTRC?tag=robinfrench-20,2025-12-12T20:55:17.766Z
78,oats (rolled),20.44,B07VCM66N6,https://www.amazon.com/dp/B07VCM66N6?tag=robinfrench-20,2025-12-12T21:07:48.631Z
79,bulgur,20.42,B081DQ5NG5,https://www.amazon.com/dp/B081DQ5NG5?tag=robinfrench-20,2025-12-12T20:59:29.455Z
80,silkworms,20.34,B08JKNZPSF,https://www.amazon.com/dp/B08JKNZPSF?tag=robinfrench-20,2025-12-12T21:04:22.952Z
81,ground pork (lean),19.99,B0CLJW1P6D,https://www.amazon.com/dp/B0CLJW1P6D?tag=robinfrench-20,2025-12-12T20:48:19.692Z
82,amino acid supplement,19.99,B0C2JFLZHF,https://www.amazon.com/dp/B0C2JFLZHF?tag=robinfrench-20,2025-12-12T20:58:12.855Z
83,frisee,19.99,B07FZGKZL4,https://www.amazon.com/dp/B07FZGKZL4?tag=robinfrench-20,2025-12-12T21:01:44.839Z
84,wheat hay,19.99,B0CLC76V98,https://www.amazon.com/dp/B0CLC76V98?tag=robinfrench-20,2025-12-12T21:04:32.581Z
85,d-mannose,19.99,B07FC4ZY34,https://www.amazon.com/dp/B07FC4ZY34?tag=robinfrench-20,2025-12-16T03:25:47.431Z
86,peas,19.99,B07D1NGQ6B,https://www.amazon.com/dp/B07D1NGQ6B?tag=robinfrench-20,2025-12-12T21:07:53.364Z
87,peas (mashed),19.99,B07D1NGQ6B,https://www.amazon.com/dp/B07D1NGQ6B?tag=robinfrench-20,2025-12-12T21:07:57.848Z
88,quercetin,19.99,B0742YS3TG,https://www.amazon.com/dp/B0742YS3TG?tag=robinfrench-20,2025-12-16T03:25:47.431Z
89,romanesco broccoli,19.99,B01I1Q74MQ,https://www.amazon.com/dp/B01I1Q74MQ?tag=robinfrench-20,2025-12-12T21:08:26.110Z
90,l-carnitine powder,19.95,B06Y1BTLGK,https://www.amazon.com/dp/B06Y1BTLGK?tag=robinfrench-20,2025-12-12T21:07:14.304Z
91,barley,19.92,B0D481997Z,https://www.amazon.com/dp/B0D481997Z?tag=robinfrench-20,2025-12-12T20:59:01.320Z
92,dubia roaches,19.90,B09QD6PBB8,https://www.amazon.com/dp/B09QD6PBB8?tag=robinfrench-20,2025-12-12T20:54:16.800Z
93,small dubia roaches,19.90,B09QD6PBB8,https://www.amazon.com/dp/B09QD6PBB8?tag=robinfrench-20,2025-12-12T21:04:18.331Z
94,wild rice,19.50,B089CP461X,https://www.amazon.com/dp/B089CP461X?tag=robinfrench-20,2025-12-12T21:09:40.679Z
95,amaranth leaves,18.99,B0F2YRBGS6,https://www.amazon.com/dp/B0F2YRBGS6?tag=robinfrench-20,2025-12-12T21:02:44.545Z
96,barley hay,18.99,B07ZYNJ123,https://www.amazon.com/dp/B07ZYNJ123?tag=robinfrench-20,2025-12-16T03:25:47.431Z
97,hyaluronic acid,18.99,B07XHNCJMC,https://www.amazon.com/dp/B07XHNCJMC?tag=robinfrench-20,2025-12-12T21:06:55.692Z
98,vitamin e,18.95,B01I5OB3LW,https://www.amazon.com/dp/B01I5OB3LW?tag=robinfrench-20,2025-12-12T20:51:23.124Z
99,quail eggs,18.95,B0BSRGV9PR,https://www.amazon.com/dp/B0BSRGV9PR?tag=robinfrench-20,2025-12-12T21:08:12.122Z
100,almond oil,18.46,B0BXMMDNJ8,https://www.amazon.com/dp/B0BXMMDNJ8?tag=robinfrench-20,2025-12-12T20:56:47.604Z
101,miner's lettuce,18.39,B0D3J7FZFD,https://www.amazon.com/dp/B0D3J7FZFD?tag=robinfrench-20,2025-12-12T21:00:54.713Z
102,earthworms,17.99,B097PDMK47,https://www.amazon.com/dp/B097PDMK47?tag=robinfrench-20,2025-12-12T21:04:27.764Z
103,psyllium husk,17.97,B0016AXN7A,https://www.amazon.com/dp/B0016AXN7A?tag=robinfrench-20,2025-12-12T20:51:37.725Z
104,evening primrose oil,17.95,B07FPBQ31W,https://www.amazon.com/dp/B07FPBQ31W?tag=robinfrench-20,2025-12-12T20:57:11.379Z
105,vitamin c (small amounts),17.95,B074GCB1ND,https://www.amazon.com/dp/B074GCB1ND?tag=robinfrench-20,2025-12-12T21:09:22.054Z
106,honey (tiny amounts),17.48,B0791X9GSG,https://www.amazon.com/dp/B0791X9GSG?tag=robinfrench-20,2025-12-12T20:54:07.362Z
107,mannanoligosaccharides (mos),17.40,B0CRFWM2Z6,https://www.amazon.com/dp/B0CRFWM2Z6?tag=robinfrench-20,2025-12-12T21:07:28.938Z
108,salmon (boneless),16.99,B08NCDSV82,https://www.amazon.com/dp/B08NCDSV82?tag=robinfrench-20,2025-12-12T20:47:08.804Z
109,broccoli,16.99,B07MGZKB9V,https://www.amazon.com/dp/B07MGZKB9V?tag=robinfrench-20,2025-12-16T03:25:47.431Z
110,kale,16.99,B07MGZKB9V,https://www.amazon.com/dp/B07MGZKB9V?tag=robinfrench-20,2025-12-16T03:25:47.431Z
111,celery,16.99,B07MGZKB9V,https://www.amazon.com/dp/B07MGZKB9V?tag=robinfrench-20,2025-12-16T03:25:47.431Z
112,endive,16.99,B07MGZKB9V,https://www.amazon.com/dp/B07MGZKB9V?tag=robinfrench-20,2025-12-16T03:25:47.431Z
113,escarole,16.99,B07MGZKB9V,https://www.amazon.com/dp/B07MGZKB9V?tag=robinfrench-20,2025-12-16T03:25:47.431Z
114,collard greens,16.99,B07MGZKB9V,https://www.amazon.com/dp/B07MGZKB9V?tag=robinfrench-20,2025-12-16T03:25:47.431Z
115,beet greens,16.99,B07MGZKB9V,https://www.amazon.com/dp/B07MGZKB9V?tag=robinfrench-20,2025-12-16T03:25:47.431Z
116,canary seed,16.99,B001ODB3YE,https://www.amazon.com/dp/B001ODB3YE?tag=robinfrench-20,2025-12-16T03:25:47.431Z
117,niger seed,16.99,B001ODB3YE,https://www.amazon.com/dp/B001ODB3YE?tag=robinfrench-20,2025-12-16T03:25:47.431Z
118,rapeseed,16.99,B001ODB3YE,https://www.amazon.com/dp/B001ODB3YE?tag=robinfrench-20,2025-12-16T03:25:47.431Z
119,pellets (fortified),16.99,B0002ARAFI,https://www.amazon.com/dp/B0002ARAFI?tag=robinfrench-20,2025-12-16T03:25:47.431Z
120,meadow hay,16.99,B001ODB40G,https://www.amazon.com/dp/B001ODB40G?tag=robinfrench-20,2025-12-16T03:25:47.431Z
121,ground duck,16.99,B0BY3CNR3Q,https://www.amazon.com/dp/B0BY3CNR3Q?tag=robinfrench-20,2025-12-12T20:55:51.155Z
122,mulberries,16.99,B074153BXC,https://www.amazon.com/dp/B074153BXC?tag=robinfrench-20,2025-12-12T21:03:36.579Z
123,cranberries,16.99,B074153BXC,https://www.amazon.com/dp/B074153BXC?tag=robinfrench-20,2025-12-12T21:03:45.886Z
124,wild bird mix,16.99,B001ODB3YE,https://www.amazon.com/dp/B001ODB3YE?tag=robinfrench-20,2025-12-16T03:25:47.431Z
125,snow peas (mashed),16.99,B07MGZKB9V,https://www.amazon.com/dp/B07MGZKB9V?tag=robinfrench-20,2025-12-16T03:25:47.431Z
126,turmeric,16.95,B018GPDCV4,https://www.amazon.com/dp/B018GPDCV4?tag=robinfrench-20,2025-12-12T21:02:54.163Z
127,fish broth (no salt),16.65,B07DFQFLJL,https://www.amazon.com/dp/B07DFQFLJL?tag=robinfrench-20,2025-12-12T21:06:27.442Z
128,turkey broth (no salt),16.65,B07DFQFLJL,https://www.amazon.com/dp/B07DFQFLJL?tag=robinfrench-20,2025-12-12T21:09:12.294Z
129,timothy hay,16.49,B006AYMMRY,https://www.amazon.com/dp/B006AYMMRY?tag=robinfrench-20,2025-12-12T20:54:54.261Z
130,millet (tiny amounts),16.32,B07XPCWYP2,https://www.amazon.com/dp/B07XPCWYP2?tag=robinfrench-20,2025-12-12T20:59:20.051Z
131,chicken liver,16.29,B07S8JCNTH,https://www.amazon.com/dp/B07S8JCNTH?tag=robinfrench-20,2025-12-12T20:47:32.285Z
132,hornworms,15.99,B09Y4RTNK9,https://www.amazon.com/dp/B09Y4RTNK9?tag=robinfrench-20,2025-12-12T20:54:40.038Z
133,ground mackerel,15.99,B079Z4MZTG,https://www.amazon.com/dp/B079Z4MZTG?tag=robinfrench-20,2025-12-12T20:56:05.291Z
134,lamb liver,15.95,B0015G862M,https://www.amazon.com/dp/B0015G862M?tag=robinfrench-20,2025-12-12T20:55:31.989Z
135,rosemary,15.75,B004JWLMNY,https://www.amazon.com/dp/B004JWLMNY?tag=robinfrench-20,2025-12-12T21:02:59.048Z
136,chickpeas,15.68,B0BYPF1Y79,https://www.amazon.com/dp/B0BYPF1Y79?tag=robinfrench-20,2025-12-12T20:49:02.539Z
137,nyjer seeds,15.61,B0D6688V7C,https://www.amazon.com/dp/B0D6688V7C?tag=robinfrench-20,2025-12-12T21:00:12.678Z
138,beef liver,14.99,B07G3QFG8N,https://www.amazon.com/dp/B07G3QFG8N?tag=robinfrench-20,2025-12-12T20:47:27.552Z
139,hemp seeds,14.99,B01N7GJVNH,https://www.amazon.com/dp/B01N7GJVNH?tag=robinfrench-20,2025-12-16T03:25:47.431Z
140,"peanut butter (unsalted, tiny amounts)",14.99,B06ZXZ3JPZ,https://www.amazon.com/dp/B06ZXZ3JPZ?tag=robinfrench-20,2025-12-12T20:54:11.988Z
141,mealworms,14.99,B07TKDYMMP,https://www.amazon.com/dp/B07TKDYMMP?tag=robinfrench-20,2025-12-12T20:54:26.431Z
142,electrolyte powder,14.99,B07X6LNK99,https://www.amazon.com/dp/B07X6LNK99?tag=robinfrench-20,2025-12-16T03:25:47.431Z
